Commodity,Yield,Price per Unit
grape,6.92 TONS / ACRE,908 $ / TON
strawberry,625 CWT / ACRE,125 $ / CWT
hay,6.21 TONS / ACRE,230 $ / TON
rice,"9,050 LB / ACRE",32 $ / CWT
orange,355 BOXES / ACRE,"15 $ / BOX, ON TREE EQUIV"
carrot,400 CWT / ACRE,36.4 $ / CWT
broccoli,130 CWT / ACRE,51.5 $ / CWT
lemon,428 BOXES / ACRE,"23.3 $ / BOX, ON TREE EQUIV"
spinach,130 CWT / ACRE,69.3 $ / CWT
peach,13.7 TONS / ACRE,763 $ / TON
celery,550 CWT / ACRE,24.5 $ / CWT
raspberry,"18,700 LB / ACRE",3.33 $ / LB
cauliflower,180 CWT / ACRE,45 $ / CWT
avocado,2.87 TONS / ACRE,"2,430 $ / TON"
sweet potato,350 CWT / ACRE,41.9 $ / CWT
potato,435 CWT / ACRE,24.9 $ / CWT
garlic,145 CWT / ACRE,58.3 $ / CWT
cabbage,370 CWT / ACRE,28.7 $ / CWT
nectarine,8.95 TONS / ACRE,"1,160 $ / TON"
date,4.55 TONS / ACRE,"3,070 $ / TON"
sweet corn,155 CWT / ACRE,37.8 $ / CWT
grapefruit,457 BOXES / ACRE,"24.33 $ / BOX, ON TREE EQUIV"
olive,2.8 TONS / ACRE,838 $ / TON
kiwifruit,7.82 TONS / ACRE,"2,440 $ / TON"
pear,15.6 TONS / ACRE,565 $ / TON
plum,6.52 TONS / ACRE,"1,140 $ / TON"
wheat,87.1 BU / ACRE,8.36 $ / BU
artichoke,165 CWT / ACRE,69 $ / CWT
sugarbeet,45.4 TONS / ACRE,48 $ / TON
apple,"19,000 LB / ACRE",0.244 $ / LB
squash,200 CWT / ACRE,34.5 $ / CWT
apricot,5.7 TONS / ACRE,907 $ / TON
cucumber,155 CWT / ACRE,23.2 $ / CWT
pumpkin,285 CWT / ACRE,17.2 $ / CWT
safflower,"2,100 LB / ACRE",26.2 $ / CWT
asparagus,54 CWT / ACRE,163 $ / CWT
sunflower,"1,096 LB / ACRE",32 $ / CWT
barley,63 BU / ACRE,5.7 $ / BU
chickpea,"2,210 LB / ACRE",41 $ / CWT
oat,65 BU / ACRE,3.6 $ / BU
